name,world_4region,income
Afghanistan,asia,1850
Angola,africa,5440
Albania,europe,13800
Andorra,europe,56900
United Arab Emirates,asia,65100
Argentina,americas,17200
Armenia,europe,10700
Antigua and Barbuda,americas,25400
Australia,asia,46200
Austria,europe,47800
Azerbaijan,europe,16500
Burundi,africa,613
Belgium,europe,44200
Benin,africa,2400
Burkina Faso,africa,1920
Bangladesh,asia,4670
Bulgaria,europe,21700
Bahrain,asia,42100
Bahamas,americas,28600
Bosnia and Herzegovina,europe,13800
Belarus,europe,18300
Belize,americas,7720
Bolivia,americas,7480
Brazil,americas,14800
Barbados,americas,16900
Brunei,asia,76900
Bhutan,asia,10700
Botswana,africa,17900
Central African Republic,africa,841
Canada,americas,44900
Switzerland,europe,59300
Chile,americas,23800
China,asia,19100
Cote d'Ivoire,africa,4270
Cameroon,africa,3520
"Congo, Dem. Rep.",africa,848
"Congo, Rep.",africa,5080
Colombia,americas,14400
Comoros,africa,2540
Cape Verde,africa,7440
Costa Rica,americas,16300
Cuba,americas,8620
Cyprus,europe,35700
Czech Republic,europe,35900
Germany,europe,47400
Djibouti,africa,3830
Dominica,americas,11300
Denmark,europe,49500
Dominican Republic,americas,17800
Algeria,africa,14000
Ecuador,americas,10100
Egypt,africa,12200
Eritrea,africa,1450
Spain,europe,36600
Estonia,europe,33800
Ethiopia,africa,2110
Finland,europe,43500
Fiji,asia,10500
France,europe,40800
"Micronesia, Fed. Sts.",asia,3280
Gabon,africa,16900
United Kingdom,europe,41100
Georgia,europe,11800
Ghana,africa,4710
Guinea,africa,2580
Gambia,africa,1660
Guinea-Bissau,africa,1720
Equatorial Guinea,africa,16200
Greece,europe,26900
Grenada,americas,15000
Guatemala,americas,7850
Guyana,americas,8480
"Hong Kong, China",asia,58300
Honduras,americas,4800
Croatia,europe,26200
Haiti,americas,1650
Hungary,europe,31600
Indonesia,asia,13100
India,asia,8100
Ireland,europe,75700
Iran,asia,15900
Iraq,asia,16200
Iceland,europe,47800
Israel,asia,34800
Italy,europe,36400
Jamaica,americas,8440
Jordan,asia,8560
Japan,asia,40400
Kazakhstan,asia,26600
Kenya,africa,3360
Kyrgyz Republic,asia,3610
Cambodia,asia,4510
Kiribati,asia,2070
St. Kitts and Nevis,americas,30300
South Korea,asia,38900
Kuwait,asia,64200
Lao,asia,7670
Lebanon,asia,12300
Liberia,africa,1110
Libya,africa,14500
St. Lucia,americas,13100
Sri Lanka,asia,12800
Lesotho,africa,2970
Lithuania,europe,34600
Luxembourg,europe,95800
Latvia,europe,29000
Morocco,africa,8220
Monaco,europe,62700
Moldova,europe,7250
Madagascar,africa,1560
Maldives,asia,15400
Mexico,americas,18300
Marshall Islands,asia,3670
North Macedonia,europe,14800
Mali,africa,2180
Malta,europe,41300
Myanmar,asia,6970
Montenegro,europe,18700
Mongolia,asia,13600
Mozambique,africa,1220
Mauritania,africa,4170
Mauritius,africa,23600
Malawi,africa,1240
Malaysia,asia,31000
Namibia,africa,9720
Niger,africa,991
Nigeria,africa,5300
Nicaragua,americas,4480
Netherlands,europe,51800
Norway,europe,68200
Nepal,asia,3150
Nauru,asia,13400
New Zealand,asia,37000
Oman,asia,36400
Pakistan,asia,5080
Panama,americas,25100
Peru,americas,13700
Philippines,asia,9040
Palau,asia,18000
Papua New Guinea,asia,3970
Poland,europe,31700
North Korea,asia,1720
Portugal,europe,30300
Paraguay,americas,12700
Palestine,asia,4700
Qatar,asia,119000
Romania,europe,27200
Russia,europe,26700
Rwanda,africa,2360
Saudi Arabia,asia,48300
Sudan,africa,4580
Senegal,africa,3740
Singapore,asia,91400
Solomon Islands,asia,2180
Sierra Leone,africa,1540
El Salvador,americas,7710
San Marino,europe,58100
Somalia,africa,636
Serbia,europe,18200
South Sudan,africa,1980
Sao Tome and Principe,africa,3140
Suriname,americas,14300
Slovak Republic,europe,33800
Slovenia,europe,35600
Sweden,europe,48000
Eswatini,africa,9470
Seychelles,africa,29400
Syria,asia,2930
Chad,africa,1830
Togo,africa,1700
Thailand,asia,18500
Tajikistan,asia,3310
Turkmenistan,asia,19400
Timor-Leste,asia,6090
Tonga,asia,6310
Trinidad and Tobago,americas,29400
Tunisia,africa,11500
Turkey,europe,25900
Tuvalu,asia,4020
Taiwan,asia,45800
Tanzania,africa,3150
Uganda,africa,1980
Ukraine,europe,9080
Uruguay,americas,21900
United States,americas,58200
Uzbekistan,asia,7100
St. Vincent and the Grenadines,americas,11700
Venezuela,americas,8600
Vietnam,asia,7760
Vanuatu,asia,2930
Samoa,asia,6540
Yemen,asia,2580
South Africa,africa,12000
Zambia,africa,3600
Zimbabwe,africa,2420
